Vendor,البائع
General Information,المعلومات العامة,module,Magento_Rma,,,,
Submit Comment,إرسال تعليق,module,Magento_Rma,,,,
Add,إضافة,module,Magento_Rma,,,,
Custom Value,قيمة مخصصة,module,Magento_Rma,,,,
Print Shipping Label,طباعة بطاقة عنونة الشحن,module,Magento_Rma,,,,
Show Packages,إظهار الحزم,module,Magento_Rma,,,,
Items,المنتجات,module,Magento_Rma,,,,
Return Items,المنتجات المرتجعه,module,Magento_Rma,,,,
Product,المنتج,module,Magento_Rma,,,,
SKU,رمز المنتج,module,Magento_Rma,,,,
Remaining,المتبقي,module,Magento_Rma,,,,
Requested,تم الطلب,module,Magento_Rma,,,,
Authorized,مصرّح,module,Magento_Rma,,,,
Returned,اعادة,module,Magento_Rma,,,,
Approved,وافق,module,Magento_Rma,,,,
Return Reason,سبب الارتجاع,module,Magento_Rma,,,,
Item Condition,حالة السلعة,module,Magento_Rma,,,,
Resolution,قرار,module,Magento_Rma,,,,
Details,التفاصيل,module,Magento_Rma,,,,
Split,تقسيم,module,Magento_Rma,,,,
Action,إجراء,module,Magento_Rma,,,,
Return Information,معلومات الإرجاع,module,Magento_Rma,,,,
RMA,مرتجع (RMA),module,Magento_Rma,,,,
Ordered,تم الطلب,module,Magento_Rma,,,,
Customer,زبون,module,Magento_Rma,,,,
View,عرض,module,Magento_Rma,,,,
You have chosen to change status(es) of the selected RMA requests to Close. Are you sure you want to continue?,لقد اخترت تغيير حالة طلبات المرتجع المحددة إلى إغلاق. هل أنت متأكد أنك تريد المتابعة؟,module,Magento_Rma,,,,
Return Item Attribute,سمة عنصر المرتجع,module,Magento_Rma,,,,
Add New Attribute,اضافة سمة جديدة,module,Magento_Rma,,,,
Save Attribute,حفظ السمات,module,Magento_Rma,,,,
Delete Attribute,حذف السمة,module,Magento_Rma,,,,
"Edit Return Item Attribute ""%1""","تعديل سمة عنصر المرتجع ""%1""",module,Magento_Rma,,,,
New Return Item Attribute,سمة عنصر مرتجع جديدة,module,Magento_Rma,,,,
Input Type,نوع الإدخال,module,Magento_Rma,,,,
This is used internally. Make sure you don't use spaces or more than %1 symbols.,إستخدام داخلي. تأكد من أن كنت لا تستخدم مسافات أو أكثر من %1 رمز.,module,Magento_Rma,,,,
Lines Count,عدد الأسطر,module,Magento_Rma,,,,
Valid range 2-20,النطاق الصالح 2-20,module,Magento_Rma,,,,
Input Validation,التحقق من صحة المدخلات,module,Magento_Rma,,,,
None,لا شئ,module,Magento_Rma,,,,
Minimum Text Length,الحد الأدنى لطول النص,module,Magento_Rma,,,,
Maximum Text Length,الحد الأقصى لطول النص,module,Magento_Rma,,,,
Maximum File Size (bytes),"الحد الأقصى ""لحجم الملف"" (بايت)",module,Magento_Rma,,,,
File Extensions,امتدادات الملفات,module,Magento_Rma,,,,
Comma separated. Forbidden file extensions: %1.,مفصولة بفاصلة. امتدادات الملفات المحظورة: %1.,module,Magento_Rma,,,,
Maximum Image Width (px),الحد الأقصى لعرض الصورة (px),module,Magento_Rma,,,,
Maximum Image Height (px),ارتفاع الصورة كحد أقصى (px),module,Magento_Rma,,,,
Input/Output Filter,تصفية الإدخال/الإخراج,module,Magento_Rma,,,,
Storefront Properties,خصائص الواجهة,module,Magento_Rma,,,,
Show on Storefront,إظهار في الواجهة,module,Magento_Rma,,,,
Sort Order,الترتيب,module,Magento_Rma,,,,
Forms to Use In,النماذج المستخدمة فيها,module,Magento_Rma,,,,
Properties,خصائص,module,Magento_Rma,,,,
Manage Label / Options,ادارة علامة/ خيارات,module,Magento_Rma,,,,
Attribute Information,معلومات السمة,module,Magento_Rma,,,,
Visible to Customer,مرئية للعملاء,module,Magento_Rma,,,,
Submit Returns,إرسال المرتجع,module,Magento_Rma,,,,
Add Products,إضافة منتجات,module,Magento_Rma,,,,
Add Selected Product(s) to returns,إضافة المنتج(ات) المحددة إلى المرتجعات,module,Magento_Rma,,,,
Product Name,اسم المنتج,module,Magento_Rma,,,,
Remaining Qty,الكمية المتبقية,module,Magento_Rma,,,,
Requested Qty,الكمية المطلوبة,module,Magento_Rma,,,,
Reason to Return,سبب الإرجاع,module,Magento_Rma,,,,
Delete,احذف,module,Magento_Rma,,,,
Add Details,إضافة تفاصيل,module,Magento_Rma,,,,
Select,إختيار,module,Magento_Rma,,,,
Price,السعر,module,Magento_Rma,,,,
The wrong RMA was requested.,تم طلب مرتجع خاطئ.,module,Magento_Rma,,,,
This is the wrong RMA order ID.,هذا هو معرف طلب مرتجع خاطئ.,module,Magento_Rma,,,,
Invalid RMA,مرتجع غير صالح,module,Magento_Rma,,,,
Please enter a valid message.,الرجاء إدخال رسالة صحيحة.,module,Magento_Rma,,,,
We cannot add the RMA history.,تعذر إضافة سجل المرتجع.,module,Magento_Rma,,,,
Invalid order,طلب غير صالح,module,Magento_Rma,,,,
We can't retrieve the product list right now.,لا يمكننا استرداد قائمة المنتجات الآن.,module,Magento_Rma,,,,
Please specify a carrier.,الرجاء تحديد شركة الشحن.,module,Magento_Rma,,,,
Please enter a tracking number.,الرجاء إدخال رقم تتبع.,module,Magento_Rma,,,,
We cannot initialize an RMA to add a tracking number.,تعذرت تهيئة مرتجع لإضافة رقم تتبع.,module,Magento_Rma,,,,
We can't add a message right now.,لا يمكننا إضافة رسالة الآن.,module,Magento_Rma,,,,
New Return,مرتجع جديد,module,Magento_Rma,,,,
%1 RMA(s) cannot be closed,تعذر إغلاق %1 مرتجع(ات),module,Magento_Rma,,,,
We cannot close the RMA request(s).,لا يمكننا إغلاق طلب (طلبات) RMA.,module,Magento_Rma,,,,
%1 RMA (s) have been closed.,تم إغلاق %1 من طلبات RMA.,module,Magento_Rma,,,,
You created a shipping label.,لقد أنشأت ملصق شحن.,module,Magento_Rma,,,,
We can't create a shipping label right now.,لا يمكننا إنشاء بطاقة عنونة شحن الآن.,module,Magento_Rma,,,,
Manage RMA Item Attributes,إدارة سمات عناصر RMA,module,Magento_Rma,,,,
You cannot delete this attribute.,لا يمكنك حذف هذه السمة.,module,Magento_Rma,,,,
You deleted the RMA attribute.,لقد حذفت سمة RMA.,module,Magento_Rma,,,,
We can't delete the RMA item attribute right now.,لا يمكننا حذف السمة عنصر إرجاع البضائع الآن.,module,Magento_Rma,,,,
This attribute no longer exists.,هذه السمات لم تعد موجوده.,module,Magento_Rma,,,,
You cannot edit this attribute.,لا يمكنك تعديل هذه السمة.,module,Magento_Rma,,,,
Edit Return Item Attribute,تعديل سمة عنصر المرتجع,module,Magento_Rma,,,,
Returns Attributes,سمات المرتجعات,module,Magento_Rma,,,,
New Return Attribute,سمة مرتجع جديدة,module,Magento_Rma,,,,
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.",تعذّر حفظ السمة بسبب خطأ. يرجى التحقق من معلوماتك والمحاولة مرة أخرى. إذا استمر الخطأ، يرجى المحاولة لاحقاً.,module,Magento_Rma,,,,
You saved the RMA item attribute.,لقد حفظت سمة عنصر RMA.,module,Magento_Rma,,,,
Something went wrong while saving the RMA item attribute.,حدث خطأ أثناء حفظ سمة عنصر RMA.,module,Magento_Rma,,,,
An attribute with the same code already exists.,توجد سمة بنفس الرمز مسبقاً.,module,Magento_Rma,,,,
Please correct the value for file extensions.,يرجى تصحيح القيمة الخاصة بامتدادات الملفات.,module,Magento_Rma,,,,
The wrong RMA item was requested.,تم طلب عنصر RMA غير صحيح.,module,Magento_Rma,,,,
We cannot display the item attributes.,لا يمكننا عرض سمات العنصر.,module,Magento_Rma,,,,
There are no applicable items for return in this order.,لا توجد عناصر قابلة للإرجاع في هذا الطلب.,module,Magento_Rma,,,,
We don't recognize or support the file extension in shipment %1.,لا نتعرف على امتداد الملف في الشحنة %1 ولا ندعمه.,module,Magento_Rma,,,,
Something went wrong creating a shipping label.,حدث خطأ أثناء إنشاء ملصق الشحن.,module,Magento_Rma,,,,
A quantity you're trying to add exceeds the number of products we shipped.,الكمية التي تحاول إضافتها تتجاوز العدد من المنتجات التي شحننا.,module,Magento_Rma,,,,
Products should be added to package(s),ينبغي إضافة المنتجات إلى الحزمة (الحزم),module,Magento_Rma,,,,
Please enter a valid value.,الرجاء إدخال قيمة صحيحة.,module,Magento_Rma,,,,
This is the wrong RMA ID.,معرّف RMA غير صحيح.,module,Magento_Rma,,,,
We cannot display the available shipping methods.,لا يمكننا عرض طرق الشحن المتاحة.,module,Magento_Rma,,,,
We cannot initialize an RMA to delete a tracking number.,لا يمكننا تهيئة RMA لحذف رقم التتبع.,module,Magento_Rma,,,,
We can't delete the tracking number right now.,لا يمكننا حذف رقم التتبع الآن.,module,Magento_Rma,,,,
We can't save this RMA.,لايمكننا حفظ عنصر إرجاع البضائع هذا.,module,Magento_Rma,,,,
You saved the RMA request.,لقد حفظت طلب RMA.,module,Magento_Rma,,,,
You did not email your customer. Please check your email settings.,انت لم ترسل اي رسائل بريد الكتروني للعميل. الرجاء التحقق من إعدادات البريد الإلكتروني الخاص بك.,module,Magento_Rma,,,,
You submitted the RMA request.,لقد أرسلت طلب RMA.,module,Magento_Rma,,,,
No items for bundle product,لا توجد عناصر للمنتج المجمّع.,module,Magento_Rma,,,,
The wrong order ID or item ID was requested.,تم طلب معرّف طلب أو معرّف عنصر غير صحيح.,module,Magento_Rma,,,,
Page not found.,لم يتم العثور على الصفحة.,module,Magento_Rma,,,,
Shipping Labels are not allowed.,ملصقات الشحن غير مسموح بها.,module,Magento_Rma,,,,
Please select a valid carrier.,يرجى اختيار ناقل صالح.,module,Magento_Rma,,,,
Please enter a valid tracking number.,الرجاء إدخال رقم تتبع صحيح.,module,Magento_Rma,,,,
We can't add a label right now.,لا يمكننا إضافة تسمية الآن.,module,Magento_Rma,,,,
You selected the wrong RMA.,لقد اخترت RMA غير صحيح.,module,Magento_Rma,,,,
We can't create a return transaction for order #%1.,لا يمكننا إنشاء أمر إرجاع العملية التجارية للطلب #%1.,module,Magento_Rma,,,,
Create New Return,إنشاء مرتجع جديد,module,Magento_Rma,,,,
We can't delete the label right now.,لا يمكننا حذف التسمية الآن.,module,Magento_Rma,,,,
You submitted Return #%1.,لقد أرسلت المرتجع رقم %1#.,module,Magento_Rma,,,,
We can't create a return right now. Please try again later.,لا يمكننا إنشاء إرجاع الآن. الرجاء المحاولة مرة أخرى لاحقاً.,module,Magento_Rma,,,,
Return #%1,المرتجع رقم %1#,module,Magento_Rma,,,,
Cannot add message.,تعذّرت إضافة الرسالة.,module,Magento_Rma,,,,
My Returns,مرتجعاتي,module,Magento_Rma,,,,
Tracking Information,معلومات التتبع,module,Magento_Rma,,,,
Page not found,الصفحة غير موجودة,module,Magento_Rma,,,,
Please check this order for errors.,يرجى مراجعة هذا الطلب للتحقق من الأخطاء.,module,Magento_Rma,,,,
Contact Email Address,بريد الموقع,module,Magento_Rma,,,,
Text Field,حقل النص,module,Magento_Rma,,,,
Text Area,منطقة النص,module,Magento_Rma,,,,
Dropdown,انزال,module,Magento_Rma,,,,
Image File,ملف الصورة,module,Magento_Rma,,,,
Could not save the RMA comment.,تعذّر حفظ تعليق RMA.,module,Magento_Rma,,,,
Could not delete the RMA comment.,تعذّر حذف تعليق RMA.,module,Magento_Rma,,,,
